Gen,Score,Running Score,Actor Loss,Running Actor Loss,Critic Loss,Running Critic Loss,Alpha Loss,Running Alpha Loss,Alpha
1902,33.0,24.05,-12.939262390136719,-12.623128023147583,11.320240020751953,11.864654643535614,0.011556658893823624,0.01161053841933608,0.8335627317428589
1903,27.0,24.1,-12.934260368347168,-12.629071779251099,11.903011798858643,11.868994896411897,0.011555595323443413,0.011609448632225395,0.8334845304489136
1904,21.0,24.01,-12.93270206451416,-12.634710006713867,12.200729370117188,11.869727594852447,0.01155451312661171,0.011608358677476645,0.833406388759613
1905,20.0,24.06,-12.910232543945312,-12.64016833305359,13.701013565063477,11.907403681278229,0.011553432792425156,0.011607269197702408,0.8333281874656677
1906,22.0,24.06,-12.938247680664062,-12.64602445602417,10.75782060623169,11.893906490802765,0.011552355252206326,0.011606179792433977,0.8332500457763672
1907,13.0,24.05,-12.955839157104492,-12.651725187301636,10.128253936767578,11.896863191127776,0.011551259085536003,0.011605090275406838,0.8331719040870667
1908,13.0,24.06,-12.968870162963867,-12.657665958404541,12.469530582427979,11.878270261287689,0.011550180613994598,0.011604000879451633,0.8330937623977661
1909,34.0,24.15,-12.941779136657715,-12.663246030807494,15.086009979248047,11.931670014858247,0.011549083516001701,0.011602911408990621,0.8330157399177551
1910,13.0,24.12,-12.985855102539062,-12.669364080429077,14.503324508666992,11.972275259494781,0.011548013426363468,0.011601822143420577,0.8329375982284546
1911,26.0,24.28,-12.967464447021484,-12.675042781829834,13.413300514221191,12.024389462471008,0.0115469079464674,0.011600732719525695,0.8328595161437988
1912,22.0,24.39,-12.985487937927246,-12.680703535079957,13.376684665679932,12.071868052482605,0.011545849032700062,0.011599643770605326,0.8327813744544983
1913,11.0,24.36,-13.005789756774902,-12.686660346984864,12.852289199829102,12.090059804916383,0.011544757522642612,0.011598554877564312,0.8327032923698425
1914,27.0,24.44,-12.998644828796387,-12.692554264068603,16.01981019973755,12.133823680877686,0.011543693020939827,0.011597466198727488,0.8326252698898315
1915,10.0,24.42,-12.975871086120605,-12.698026885986328,13.248541355133057,12.1620055103302,0.011542598716914654,0.0115963776409626,0.8325471878051758
1916,18.0,24.33,-12.95992660522461,-12.703226680755614,15.275213718414307,12.221992683410644,0.011541521176695824,0.01159528917632997,0.83246910572052
1917,15.0,24.28,-12.961282730102539,-12.708691759109497,12.49765920639038,12.213743734359742,0.011540423147380352,0.011594200916588306,0.8323910236358643
1918,14.0,24.3,-13.00379753112793,-12.71429220199585,9.446544170379639,12.187092509269714,0.011539344675838947,0.011593112898990511,0.832313060760498
1919,25.0,24.24,-12.963662147521973,-12.719503507614135,16.137048721313477,12.187026357650756,0.011538270860910416,0.01159202490001917,0.8322349786758423
1920,12.0,24.25,-13.009765625,-12.725111141204835,11.294568061828613,12.21823832988739,0.01153720635920763,0.01159093695692718,0.8321569561958313
1921,31.0,24.46,-13.021371841430664,-12.730759496688842,9.831898212432861,12.224298725128174,0.011536126025021076,0.011589849386364221,0.8320789933204651
1922,10.0,24.41,-13.009758949279785,-12.736093072891235,10.81621265411377,12.197984976768494,0.01153502520173788,0.011588761769235133,0.8320009708404541
1923,21.0,24.39,-13.002482414245605,-12.74155198097229,10.24270248413086,12.11568555355072,0.011533943936228752,0.011587674310430885,0.8319230079650879
1924,49.0,24.63,-13.01968002319336,-12.746996297836304,14.626192092895508,12.179892485141755,0.011532864533364773,0.011586586758494378,0.8318449854850769
1925,13.0,24.45,-13.027301788330078,-12.752497110366821,16.92047691345215,12.226081149578095,0.011531778611242771,0.011585499439388514,0.8317670226097107
1926,33.0,24.58,-13.00939655303955,-12.757698068618774,10.711615085601807,12.232898309230805,0.011530712246894836,0.011584412381052971,0.8316890001296997
1927,13.0,24.5,-13.040486335754395,-12.763075895309449,11.2360258102417,12.245936534404755,0.011529598385095596,0.011583325052633882,0.8316110968589783
1928,11.0,24.48,-13.055212020874023,-12.768723793029785,10.7882399559021,12.216971905231476,0.011528517119586468,0.011582237808033824,0.8315331339836121
1929,13.0,24.47,-13.0730562210083,-12.774396448135375,10.351399421691895,12.20382648229599,0.011527457274496555,0.011581151001155376,0.8314552307128906
1930,20.0,24.49,-13.031133651733398,-12.779571418762208,14.67747449874878,12.243721277713776,0.011526373215019703,0.011580064315348864,0.8313772678375244
1931,30.0,24.49,-13.072450637817383,-12.78503987312317,14.110000133514404,12.318494436740876,0.011525299400091171,0.011578977797180414,0.8312993049621582
1932,28.0,24.63,-13.060225486755371,-12.790201625823975,9.679975032806396,12.320640680789948,0.011524227447807789,0.011577891437336802,0.8312214612960815
1933,15.0,24.49,-13.078218460083008,-12.795512037277222,12.843493461608887,12.372138435840606,0.01152314618229866,0.011576805030927062,0.8311435580253601
1934,21.0,24.49,-13.049975395202637,-12.80084686279297,16.68654155731201,12.408639724254607,0.011522039771080017,0.011575718764215709,0.8310655951499939
1935,35.0,24.48,-13.092912673950195,-12.80625973701477,13.579688549041748,12.421798841953278,0.011520993895828724,0.011574632925912738,0.8309877514839172
1936,26.0,24.35,-13.087380409240723,-12.811614847183227,11.870195865631104,12.439150459766388,0.011519910767674446,0.011573547115549445,0.8309099078178406
1937,10.0,24.21,-13.110312461853027,-12.81721438407898,11.016129493713379,12.447093369960784,0.011518831364810467,0.011572461351752281,0.8308320045471191
1938,24.0,24.03,-13.06734561920166,-12.822027101516724,19.37638759613037,12.538921935558319,0.011517752893269062,0.011571375783532858,0.8307541608810425
1939,13.0,24.05,-13.10317611694336,-12.827462711334228,9.168545246124268,12.505675995349884,0.011516669765114784,0.011570290112867952,0.830676257610321
1940,16.0,23.6,-13.128950119018555,-12.833040199279786,14.88161039352417,12.577338681221008,0.011515582911670208,0.011569204609841108,0.8305984735488892
1941,11.0,23.62,-13.093976974487305,-12.838151550292968,12.356330871582031,12.541593437194825,0.011514507234096527,0.011568119814619422,0.8305206298828125
1942,16.0,23.62,-13.094828605651855,-12.8429985332489,15.52840518951416,12.530358281135559,0.011513428762555122,0.011567034665495158,0.8304427862167358
1943,20.0,23.68,-13.058048248291016,-12.847515296936034,19.238201141357422,12.579264755249023,0.011512345634400845,0.011565949618816376,0.830365002155304
1944,33.0,23.86,-13.130988121032715,-12.853061876296998,11.660404682159424,12.594399862289428,0.011511263437569141,0.011564864432439209,0.8302872180938721
1945,17.0,23.53,-13.130194664001465,-12.858220500946045,10.778501987457275,12.589117226600647,0.011510190553963184,0.011563779832795263,0.8302093744277954
1946,15.0,23.56,-13.135162353515625,-12.863686847686768,12.204216003417969,12.552059454917908,0.01150911021977663,0.011562695214524864,0.8301315903663635
1947,17.0,23.57,-13.158577919006348,-12.869146966934204,11.769400596618652,12.590566210746765,0.011508028022944927,0.01156161050312221,0.8300538063049316
1948,12.0,23.56,-13.138185501098633,-12.874328594207764,12.669661045074463,12.590441160202026,0.011506957933306694,0.011560526080429553,0.8299760818481445
1949,12.0,23.34,-13.117056846618652,-12.879444646835328,16.936856269836426,12.633239073753357,0.011505868285894394,0.011559441639110445,0.8298982977867126
1950,31.0,23.54,-13.138075828552246,-12.884579677581787,9.83304738998413,12.586953678131103,0.011504795402288437,0.011558357570320367,0.8298205137252808
1951,17.0,23.56,-13.138337135314941,-12.8895658493042,17.580415725708008,12.66624285697937,0.011503705754876137,0.011557273371145128,0.8297427892684937
1952,13.0,23.46,-13.182138442993164,-12.895239334106446,8.628837585449219,12.605066957473754,0.01150265708565712,0.011556189665570855,0.8296651244163513
1953,20.0,23.38,-13.161027908325195,-12.900973272323608,15.51715898513794,12.593900141716004,0.011501580476760864,0.011555106183513998,0.8295873403549194
1954,23.0,23.45,-13.175471305847168,-12.906408138275147,11.825528144836426,12.580120306015015,0.011500479653477669,0.011554022450000048,0.8295096158981323
1955,15.0,23.23,-13.134247779846191,-12.911225471496582,15.868102550506592,12.610550003051758,0.011499411426484585,0.01155293894931674,0.8294318914413452
1956,26.0,23.38,-13.179061889648438,-12.916765069961547,11.946572303771973,12.567666912078858,0.011498332023620605,0.011551855467259883,0.8293542861938477
1957,15.0,23.17,-13.162895202636719,-12.92211093902588,8.50053071975708,12.522934551239013,0.011497263796627522,0.011550772301852703,0.8292765617370605
1958,21.0,22.95,-13.190312385559082,-12.927681379318237,11.948292255401611,12.549959559440612,0.011496192775666714,0.011549689285457134,0.8291988372802734
1959,24.0,23.07,-13.204211235046387,-12.933740072250366,8.191882848739624,12.458026220798493,0.01149508822709322,0.011548606045544148,0.8291211724281311
1960,25.0,23.11,-13.196367263793945,-12.939281187057496,11.130908012390137,12.459259712696076,0.011494029313325882,0.01154752311296761,0.8290435671806335
1961,11.0,23.09,-13.201906204223633,-12.945183324813843,12.456663608551025,12.436221845149994,0.011492947116494179,0.011546440441161394,0.8289658427238464
1962,49.0,23.36,-13.182268142700195,-12.950492820739747,11.896715641021729,12.414435794353485,0.011491873301565647,0.011545357685536146,0.8288882374763489
1963,11.0,23.2,-13.272001266479492,-12.956922931671143,8.623245239257812,12.378245646953582,0.01149078831076622,0.011544275032356381,0.8288105726242065
1964,36.0,23.25,-13.270333290100098,-12.963140325546265,14.346252918243408,12.393163149356843,0.011489723809063435,0.011543192649260164,0.828732967376709
1965,11.0,23.13,-13.274788856506348,-12.969546127319337,11.825517654418945,12.368228342533111,0.011488656513392925,0.01154211058281362,0.8286553621292114
1966,11.0,23.15,-13.268389701843262,-12.975676698684692,6.714772939682007,12.317723665237427,0.011487575247883797,0.01154102860018611,0.8285776972770691
1967,13.0,23.11,-13.296907424926758,-12.982085371017456,8.615182161331177,12.30659259557724,0.011486485600471497,0.011539946580305695,0.8285001516342163
1968,16.0,22.88,-13.274887084960938,-12.988448333740234,18.646313667297363,12.387139036655427,0.011485428549349308,0.011538864802569151,0.8284226059913635
1969,39.0,23.07,-13.318283081054688,-12.99487590789795,11.505095481872559,12.410472214221954,0.011484329588711262,0.011537782875820994,0.8283449411392212
1970,13.0,22.64,-13.330427169799805,-13.001352863311768,15.300762176513672,12.439253485202789,0.011483282782137394,0.011536701191216707,0.8282673954963684
1971,35.0,22.69,-13.311737060546875,-13.00756010055542,10.014666080474854,12.422795336246491,0.011482197791337967,0.011535619720816612,0.8281897902488708
1972,32.0,22.82,-13.288043975830078,-13.013629865646362,12.636162757873535,12.456470167636871,0.011481103487312794,0.011534538166597486,0.8281123042106628
1973,17.0,22.63,-13.315189361572266,-13.020019502639771,14.301953792572021,12.50147851228714,0.01148003339767456,0.011533456705510616,0.8280346989631653
1974,17.0,22.67,-13.362552642822266,-13.026747522354126,9.090244770050049,12.44757395505905,0.011478972621262074,0.011532376008108258,0.8279571533203125
1975,25.0,22.36,-13.308988571166992,-13.03254988670349,15.146076679229736,12.482100536823273,0.011477872729301453,0.011531294751912356,0.8278796672821045
1976,26.0,22.41,-13.352435111999512,-13.0387890625,10.557282447814941,12.463576395511627,0.011476819403469563,0.011530213868245482,0.8278021812438965
1977,13.0,22.39,-13.392125129699707,-13.045450725555419,15.622429847717285,12.478512399196624,0.011475741863250732,0.011529133319854737,0.8277246952056885
1978,16.0,22.28,-13.37404727935791,-13.051750965118408,9.611954689025879,12.481424758434295,0.011474668979644775,0.011528052585199476,0.8276470899581909
1979,21.0,22.38,-13.40257740020752,-13.058271808624268,11.328829288482666,12.491404240131379,0.011473585851490498,0.011526972092688083,0.8275696039199829
1980,30.0,22.05,-13.351375579833984,-13.064094524383545,10.99968957901001,12.49039700269699,0.011472523212432861,0.011525891842320562,0.8274921774864197
1981,16.0,22.08,-13.355568885803223,-13.069969902038574,16.491917610168457,12.515032732486725,0.01147143542766571,0.011524811424314975,0.8274146914482117
1982,14.0,22.06,-13.40151596069336,-13.076302089691161,15.315745830535889,12.56404217004776,0.01147038396447897,0.011523731527850032,0.8273372054100037
1983,23.0,22.16,-13.382990837097168,-13.082425127029419,16.258217811584473,12.596394183635711,0.011469285003840923,0.011522651463747025,0.8272597789764404
1984,18.0,22.18,-13.347587585449219,-13.087672872543335,13.893917560577393,12.605426642894745,0.011468237265944481,0.011521571772173047,0.8271823525428772
1985,18.0,22.17,-13.354615211486816,-13.093051156997682,14.283759593963623,12.63612957239151,0.01146715134382248,0.011520492136478424,0.827104926109314
1986,22.0,21.98,-13.385204315185547,-13.098586750030517,12.819988250732422,12.652511565685272,0.011466064490377903,0.011519412519410252,0.8270273804664612
1987,22.0,22.0,-13.37770938873291,-13.104248466491699,10.75302791595459,12.685216166973113,0.011464996263384819,0.011518333116546273,0.826949954032898
1988,13.0,21.96,-13.344860076904297,-13.109314880371095,14.387136459350586,12.680753614902496,0.011463928036391735,0.011517253629863262,0.8268725872039795
1989,32.0,21.74,-13.39650821685791,-13.114717254638672,16.36311626434326,12.702638256549836,0.01146284956485033,0.011516174226999283,0.8267951607704163
1990,11.0,21.72,-13.399328231811523,-13.120492916107178,9.547326564788818,12.641962563991546,0.011461772955954075,0.011515095047652722,0.8267178535461426
1991,29.0,21.77,-13.386284828186035,-13.125838384628295,10.79390287399292,12.626119492053986,0.011460714042186737,0.011514015989378094,0.8266404271125793
1992,13.0,21.79,-13.398886680603027,-13.130813093185425,9.64349365234375,12.61486257314682,0.01145964115858078,0.011512937266379595,0.8265630602836609
1993,16.0,20.92,-13.430938720703125,-13.136481389999389,12.404899597167969,12.615453794002534,0.01145857572555542,0.011511858655139803,0.8264856934547424
1994,24.0,20.83,-13.44250202178955,-13.14218126296997,10.076751232147217,12.579540293216706,0.01145749632269144,0.011510779922828078,0.8264082670211792
1995,15.0,20.8,-13.410099983215332,-13.147322340011597,10.821308135986328,12.569065754413606,0.011456422507762909,0.011509701451286674,0.8263309001922607
